TimeStamp,JobId,JobStateId,Priority,TokenAllocation,QuotaTokens,AUId,VCId,TotalWaitingTimeInMins,random,SLA,JobRegistryId,IsYieldedEnabled,IsYieldForEnabled,YieldScopePriority_X,YieldScopePriority_Y
2020-04-25 11:03:07.837,afb500af-7bdd-4ed1-8ca7-0c727fd041ee,0,1200,39,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,4.796600921666667,3d9dca0f-cd62-4348-893d-000052ab5edf,NULL,4923,1,1,1,0
2020-06-05 09:46:56.387,53cab4df-8108-4d3a-b7b8-41eb7c836299,0,1000,190,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,4.655339561666667,c30d2c40-7ebd-4418-b92c-00005828bafc,NULL,4923,1,1,1,0
2020-12-07 11:16:16.173,63a668e7-583d-4168-855e-1024793fb749,0,1000,100,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,2.4794539233333333,2ee4af44-c5bf-46d5-b1ea-00005974aeba,NULL,4923,1,1,1,0
2019-01-12 14:02:37.677,e1c7520a-d470-49bc-bdbf-6ceae416154e,0,1000,51,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,37.91799549,c7ab8877-f859-4e73-8bf2-00005b753da2,NULL,4923,1,1,1,0
2020-11-11 10:43:53.943,43d52190-59d2-4e01-b7ab-6c96d1674067,0,1000,210,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,7.522376545,46cd29f0-2483-44f8-82aa-00005b7ee8bb,NULL,4923,1,1,1,0
2019-03-13 10:08:24.890,96ed6c31-c9e7-4ac1-9594-9b982ed22c7e,1,2001,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,27.555139333333333,f7cc0950-c372-41ab-8e91-00005bf9126e,NULL,4923,1,1,1,0
2020-12-09 09:33:44.950,fd84e101-a4b4-449d-9735-54b3a592be0b,0,1000,190,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,16.50270694,28b92fbb-8329-4f98-90c6-00005cd6497f,NULL,4923,1,1,1,0
2020-05-22 08:30:46.603,13f85fd9-5d04-4779-94eb-7527da3b5dee,0,1000,80,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,7.426228638333334,c2580f59-16b3-4273-8880-00005d655988,NULL,4923,1,1,1,0
2020-06-26 09:35:37.303,9662e39f-4331-4c2f-8821-b7ff8345a2a6,0,1000,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,6.835334378333333,d22c309a-bcdf-4079-9974-000060c3a99c,NULL,4923,1,1,1,0
2019-06-27 09:37:49.027,df095f71-9e12-4559-881c-f626fb824721,0,1000,300,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.39339572833333336,4e9f90fa-7b86-43cc-9a47-000061b7bd32,NULL,4923,1,1,1,0
2020-12-28 08:54:57.043,38ce03bb-0446-4cf1-9637-459139166c9b,0,600,1500,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,68.53114875166666,d253a893-dfd7-449c-b622-000061f11f03,NULL,4923,1,1,1,0
2018-08-10 14:38:26.067,23413991-6f64-4671-b403-875153a14c93,0,1000,51,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,11.372805008333334,e3beec0f-27aa-488a-893d-000069b38378,NULL,4923,1,1,1,0
2019-03-20 17:39:24.640,c305ee5a-f81e-4165-beaa-55fdd2b29850,0,2001,1500,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,15.238681146666668,a7fe9b91-2e54-4474-8858-00006a0f86fe,NULL,4923,1,1,1,0
