JobId,JobDate,VCId,SLA,JobStateId,Allocation,SubmitTime,AUid,QuotaTokens,JobPriority,YieldScopePriority_X,YieldScopePriority_Y,random
7eb6db52-9d8b-4d97-bac6-002a5efe5a93,2018-08-25,100,NULL,2,200,2018-08-25 08:43:04.133,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,55,1,0,d9cb128a-bc61-4a85-a49e-002d5ca16640
279a978e-a5ab-4fb2-9639-3e8d0974ef83,2021-04-10,100,NULL,2,500,2021-04-11 05:16:49.407,83f00d65-a1a6-4dae-a8f2-def4d2209705,9714,50,1,1,ceb98997-c45d-4dd7-98c1-002d62a755c2
d7f10f8e-98b1-46e2-aa76-1522dbda1e73,2019-09-18,100,NULL,2,50,2019-09-18 10:22:33.090,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,d02a14d5-74bd-48b4-81ca-002d69c62f82
11414786-e230-4c99-8513-b68c2ad1a6dc,2019-04-11,100,NULL,2,250,2019-04-11 10:07:56.287,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,449792ba-3ea1-4d61-b018-002d70ebaafb
96545163-112d-482c-b6c6-08c5bec73e1c,2021-04-03,100,NULL,2,1500,2021-04-15 11:00:16.093,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,61,1,0,c86c1bfc-7bd4-47cf-9e99-002d75f1a64f
8f55d79e-5820-480a-a511-4b2b6518edd5,NULL,100,2018-11-17 00:00:00.000,2,234,2018-11-17 12:40:37.203,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,4efe8912-89f5-46c1-84f1-002d77cf9223
0dd21089-0504-4aa0-94c4-c497f0df06b4,2020-07-21,100,2020-07-20 23:55:00.000,2,1500,2020-07-22 07:22:05.577,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,20,0,0,399eaba9-093b-4e78-a829-002d78f9337a
68cebff7-c12d-4b13-8766-b74e63d1970d,2021-05-12,100,NULL,2,51,2021-05-12 11:03:06.200,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,63,1,0,0b614074-4cc9-4d34-a2cf-002d82731c22
4e1d5242-2731-41c6-9314-c315ec80a172,2020-01-14,100,2020-01-14 06:00:00.000,2,1000,2020-01-15 04:12:56.860,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,52,1,0,bb5286dc-9e11-48c0-b830-002d82ac6d0d
44e36aa2-1058-4119-b956-9ed3d9eb9ee1,2019-05-11,100,2019-05-11 00:00:00.000,2,5000,2019-05-11 10:45:58.613,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,0,f968011e-a98f-40eb-b133-002d83e8f61b
5c144d50-a27c-492b-8e93-08bfd3715fbd,2020-07-27,100,2020-07-26 23:55:00.000,2,1500,2020-07-27 22:02:01.950,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,20,0,0,2de19617-95ba-4b66-98d5-002d8d56c537
aacd4802-8674-4721-9508-7c3758dc0622,NULL,100,2018-05-31 00:00:00.000,2,234,2018-05-31 12:38:25.133,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,2ad52cec-eca0-4e25-8a7f-002d91d8c6c5
daf72d8e-9659-43a0-9ae1-e72756c22c2d,2021-02-02,100,NULL,2,51,2021-02-02 13:24:47.147,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,54,1,0,cefac17f-0416-4cae-972e-002d93155fc1
d85bf2e3-01cd-40fb-b158-d8e4addb3135,2020-04-02,100,NULL,2,100,2020-04-03 01:17:44.180,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,4951e762-b7b1-425a-888e-002d95d0000b
e93b2bbe-acee-4c41-99ae-b6a6a2cd3115,2019-11-28,100,2019-11-29 02:00:00.000,2,500,2019-11-28 15:45:36.237,e3fb335d-bf9e-433f-b370-c4d9bcd63a05,2915,50,1,0,d7295916-d551-4462-94c3-002d971b8cba
f862a831-b57f-427b-9c0d-344978046901,2020-10-25,100,2020-10-26 05:00:00.000,2,400,2020-10-26 09:14:54.383,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,53,1,0,94a9ee49-3fd0-4feb-88a7-002dac4e14d5
3a4121d7-395c-46f2-a07c-17ccb01aa4ca,2021-01-16,100,2021-01-16 16:40:00.000,2,50,2021-01-16 21:31:47.940,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,29125,51,2,0,a3b4f273-ffe2-4dfe-80d0-002db5d3a8ba
75fabb5a-291b-4922-b5b9-cf401d76fcb9,2019-12-22,100,2019-12-22 00:00:00.000,2,5000,2019-12-22 18:24:27.537,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,0,59b1f8da-3ab4-4ebc-9a73-002dc0d9653d
15f35fd3-26b1-4890-9369-c6e4ba4ff0a5,NULL,100,2019-02-21 00:00:00.000,2,234,2019-02-21 14:46:54.443,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,85ba7dff-fe62-4682-9aa5-002dc43b1ea7
6bb313d8-9e6a-4662-bb26-385f53e2a988,2021-04-03,100,NULL,2,51,2021-04-03 11:43:53.407,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,60,1,0,2b241f15-4f01-4fc8-828e-002dc90c4a07
6977611e-57cb-4e23-a124-0cddb848f2bc,2020-06-04,100,2020-06-04 00:00:00.000,2,600,2020-06-05 08:50:15.677,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,51,1,0,c19598c5-680c-4270-8902-002dd28456f0
373b8770-6bda-4837-a9a2-747661e5d895,2020-10-09,100,NULL,2,170,2020-10-09 08:52:28.970,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,71,1,0,34ec608e-9b0e-4637-af81-002dd9a065df
c4997927-3df0-4fc7-bbad-6290bab1cbce,2021-03-08,100,NULL,2,140,2021-03-08 09:49:45.110,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,f43820af-fd6a-45eb-88df-002ddf263cfc
9d690dd1-fc0e-4017-ba2f-2e69b6f77c76,NULL,100,2020-04-19 00:00:00.000,2,234,2020-04-19 10:12:19.667,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,42,0,10,5d996cd7-fc96-459b-97f2-002de4a1c109
46869eb0-338a-4a1e-bd5f-2963f31266f1,2019-03-27,100,2019-03-26 23:57:00.000,2,4139,2019-03-27 13:30:48.627,7c475ebf-3e1e-40f2-863e-3ddde132645d,3984,21,1,0,c0fab92b-cf95-4a5b-ace5-002de67e63bd
461ed0c1-807a-4e3d-8d61-b718aa0c3f80,2020-09-23,100,NULL,2,170,2020-09-23 08:31:58.657,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,70,1,0,78d51355-0dce-4fb3-8b52-002df3326218
661dd787-9024-4314-8bdf-5f5199d9af2e,NULL,100,2020-04-12 00:00:00.000,2,234,2020-04-12 09:36:26.923,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,d6a77813-2161-4b34-80bf-002df527b7c2
5d4fcc71-a013-4182-8d7a-78b35d6ebdad,2021-02-05,100,2021-02-04 23:55:00.000,2,1500,2021-02-05 18:42:01.733,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,20,0,0,2fa49a58-35fa-4815-82ec-002dfec86966
1ecc0f83-4d1a-442b-a5fe-b2f61f3fd4fa,2019-03-28,100,2019-03-28 00:00:00.000,2,5000,2019-03-29 04:52:36.140,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,0,493470a7-94d0-4c6d-bc6c-002e053d417e
