,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,EstimatedRemainingRunningTimeInMins,IsQuotaFullyLoad,WhetherHasSLA,Priority
892,1.0,0.0,1,0,1001,415,4.46386222,30,1,1,53
893,1.0,0.0,1,1,250,10687,8.559996913,360,1,0,92
894,,,1,1,400,2150,31.89126789,360,1,0,147
895,1.0,0.0,1,0,1001,415,1.278914282,360,1,1,100
896,1.0,0.0,1,1,30,10687,12.80898916,360,0,0,71
897,1.0,0.0,1,1,200,10687,0.945230465,360,1,0,92
898,,,1,1,300,29125,197.6365649,360,0,0,123
899,1.0,0.0,1,1,1001,415,0.687796687,360,1,1,91
900,1.0,0.0,1,0,4000,2915,10.63188857,360,0,1,81
901,,,0,1,2000,29125,107.0174403,360,0,0,128
902,1.0,0.0,1,1,1297,10687,17.91418126,360,0,1,56
903,1.0,0.0,1,1,1000,0,1.104624282,360,1,1,91
904,,,1,1,500,29125,67.35023964,360,0,0,114
905,1.0,0.0,1,1,250,10687,4.816615313,360,0,0,71
906,1.0,,1,1,272,10687,0.818917395,360,0,0,80
907,,,1,1,400,2150,249.5787918,360,0,0,140
908,,,1,0,800,9714,200.9070806,240,1,0,159
909,1.0,0.0,1,1,1000,10687,4.352944795,360,0,1,56
910,1.0,1.0,0,1,500,9714,83.10091621,360,0,0,91
911,1.0,0.0,1,1,1297,10687,26.44316778,360,1,1,79
912,,,1,1,200,29125,9.12731347,360,0,0,111
913,1.0,0.0,1,1,200,10687,5.447579673,360,1,0,91
914,1.0,0.0,1,1,51,10687,6.718093872,360,0,0,71
915,2.0,0.0,1,1,1000,29125,0.280863238,360,0,1,81
916,1.0,0.0,1,1,27,10687,29.50616104,360,0,0,74
917,1.0,0.0,1,1,200,0,0.268913355,360,1,1,91
918,1.0,0.0,1,1,1000,3984,0.0,360,1,1,87
919,1.0,0.0,1,1,23,10687,10.63087674,360,1,0,91
920,1.0,0.0,1,1,190,10687,3.483373603,360,1,0,90
921,1.0,0.0,1,0,2000,10687,0.230020643,360,0,1,72
922,,,1,1,1500,14572,3.313491933,360,0,1,96
923,,,1,1,1000,10687,112.1948678,5,1,0,94
924,1.0,0.0,1,1,190,10687,1.015339522,360,0,0,71
925,,,1,1,8000,14572,82.93557654,360,1,1,133
926,1.0,0.0,1,1,51,10687,13.67094257,360,1,0,92
927,,,1,1,300,29125,1.17513178,360,0,0,110
928,1.0,0.0,1,1,200,10687,0.24868058,360,1,0,90
929,1.0,0.0,1,1,7,10687,52.60206611,360,0,0,75
930,,,1,1,600,29125,132.7500113,360,0,1,100
931,,,1,1,8000,14572,5.641188092,360,0,1,106
932,1.0,0.0,1,1,400,10687,41.3782617,60,1,1,36
933,,,1,1,200,29125,185.710555,360,0,0,123
934,,,1,1,1000,29125,101.4594331,360,0,0,117
935,,,1,1,259,29125,14.65884353,360,0,0,112
936,1.0,0.0,1,0,1500,1457,20.88965458,360,0,1,80
937,,,1,1,8000,14572,3.712171313,360,1,1,127
938,1.0,0.0,1,1,51,10687,1.224239048,360,0,0,70
939,,,1,1,200,29125,277.1155159,360,1,0,150
940,,,1,1,259,29125,61.63265132,360,1,0,135
941,,,1,1,500,29125,84.79032708,360,0,0,117
942,,,1,1,350,2800,23.66498418,360,1,0,139
943,1.0,0.0,1,1,500,10687,50.70064945,360,0,1,54
944,1.0,0.0,1,1,100,0,0.701319175,360,1,0,111
945,,,1,1,1999,29125,58.91166045,360,1,0,141
946,1.0,0.0,1,1,31,10687,10.18740941,360,0,0,72
947,1.0,0.0,1,1,50,10687,105.3221451,360,0,1,57
948,,,1,1,201,29125,115.6381675,360,0,0,119
949,1.0,0.0,1,1,51,10687,4.311164422,360,0,0,70
950,,,1,1,259,29125,186.2354042,360,1,0,143
951,1.0,0.0,1,1,400,10687,0.256776617,360,0,1,51
952,1.0,0.0,1,1,51,10687,48.70291269,360,0,0,75
953,2.0,0.0,1,1,1000,29125,146.8849901,360,1,1,111
954,,,1,1,1500,14572,0.461457055,360,0,1,95
955,,,1,1,8000,14572,33.06992819,360,0,1,109
956,,,1,1,259,29125,98.7168368,360,0,0,118
957,1.0,0.0,1,1,240,10687,0.066369637,360,1,0,91
958,,,1,1,200,29125,154.5936811,360,0,0,120
959,,,1,1,700,7500,2.456058323,360,1,0,135
960,,,1,1,1500,14572,31.01486795,360,0,1,99
961,,,1,1,600,29125,0.57330497,360,0,1,90
962,,,1,1,1000,10687,331.9219273,5,0,0,80
963,,,1,1,400,2150,13.01602353,360,0,0,124
964,1.0,0.0,1,1,51,10687,33.9158248,360,0,0,74
965,,,1,1,100,29125,34.54437341,360,1,0,132
966,2.0,0.0,1,1,1000,29125,90.11964329,360,0,1,87
967,,,1,1,259,7500,364.5851326,360,0,0,127
968,,,1,1,8000,14572,261.1823999,360,0,1,124
969,,,1,1,500,10300,28.95836429,360,1,0,132
970,1.0,0.0,1,0,2000,10687,0.308790293,360,1,1,93
971,1.0,,1,1,259,10687,78.46786538,360,0,0,85
972,,,1,1,1000,29125,26.72575106,360,0,0,114
973,1.0,0.0,1,1,200,10687,0.682242267,360,1,0,90
974,1.0,0.0,1,1,1000,10687,0.789054682,360,1,1,75
975,,,1,1,1000,29125,465.2175224,360,0,0,130
976,,,1,1,200,29125,28.61590128,360,1,0,133
977,1.0,0.0,1,1,51,10687,20.58995498,360,1,0,93
978,1.0,0.0,1,1,130,10687,0.16655215,360,0,0,70
979,2.0,0.0,1,1,1000,29125,212.7283522,360,0,1,95
980,,,1,1,700,2800,8.693497955,360,1,0,147
981,1.0,1.0,0,1,500,9714,56.63596796,360,1,0,110
982,1.0,0.0,1,1,180,10687,6.984008847,360,0,0,72
983,1.0,0.0,1,1,200,10687,0.84737608,360,0,0,71
984,,,1,1,8000,14572,0.990679318,360,0,1,107
985,1.0,0.0,1,1,35,10687,40.3962133,360,1,0,95
986,1.0,0.0,1,1,170,10687,49.64946775,360,1,0,93
987,,,1,1,400,2150,3.6524394,360,1,0,144
988,1.0,0.0,1,1,51,10687,13.83655672,360,1,0,91
989,,,1,1,234,2800,16.52345775,360,1,0,138
990,1.0,0.0,1,1,37,10687,34.66130168,360,1,0,93
991,1.0,0.0,1,1,120,10687,7.15885514,360,1,0,91
992,1.0,0.0,1,0,1000,10687,0.278324743,360,1,1,83
993,1.0,0.0,1,1,100,10687,4.612292573,360,1,0,91
994,1.0,0.0,1,1,51,10687,10.68073202,360,0,0,73
995,1.0,0.0,1,1,180,10687,50.04763443,360,0,0,73
996,1.0,0.0,1,1,51,10687,53.12997917,360,1,0,96
997,,,1,1,1000,29125,60.68786806,360,0,0,114
998,,,1,1,259,29125,7.929360395,360,1,0,133
999,,,1,1,100,29125,52.6052355,360,1,0,135
