,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,EstimatedRemainingRunningTimeInMins,IsQuotaFullyLoad,WhetherHasSLA,Priority
137,1.0,0.0,1,1,1999,10687,51.73714301,40,0,1,26
138,,,1,1,700,2800,14.45251217,360,0,0,126
139,1.0,0.0,1,1,170,10687,0.0,360,0,0,70
140,1.0,0.0,1,1,19,10687,52.28023982,360,0,0,74
141,1.0,0.0,1,1,35,10687,4.006423562,360,0,0,70
142,,,1,1,8000,14572,2.582173042,360,0,1,107
143,,,1,1,1000,29125,28.30503473,360,1,0,134
144,1.0,0.0,1,1,35,10687,1.82348245,360,0,0,70
145,,,1,1,500,29125,0.393254002,360,1,0,131
146,,,1,1,1500,14572,44.83859575,360,1,1,118
147,1.0,0.0,1,0,259,415,42.9237925,50,1,1,58
148,,,1,1,1500,14572,58.06214421,360,0,1,101
149,1.0,0.0,1,1,1000,10687,82.33618414,360,0,1,62
150,1.0,0.0,1,1,250,10687,2.495196388,360,1,0,92
151,1.0,0.0,1,1,200,10687,0.174756808,360,1,0,92
152,1.0,0.0,1,1,1000,10687,16.93108528,360,0,1,56
153,,,1,1,400,2150,27.54566651,360,1,0,146
154,,,1,1,824,29125,16.44298119,360,1,0,132
155,1.0,0.0,1,1,51,10687,23.05722233,360,0,0,72
156,1.0,0.0,1,1,200,10687,2.387027547,360,0,1,50
157,1.0,0.0,1,1,400,10687,30.21645842,120,0,1,24
158,1.0,0.0,1,1,1000,3984,1.793247045,360,1,1,85
159,1.0,0.0,1,1,190,10687,2.41545602,360,1,0,90
160,1.0,0.0,1,1,180,10687,0.526609483,360,1,0,91
161,1.0,0.0,1,1,180,10687,4.762485885,360,1,0,91
162,1.0,0.0,1,1,51,10687,7.84802876,360,0,0,71
163,,,1,1,259,29125,78.22299416,360,1,0,136
164,,,1,1,8000,14572,36.26486131,360,0,1,107
165,1.0,0.0,1,1,150,10687,11.14698146,360,1,0,91
166,1.0,0.0,1,0,2000,10687,96.83749308,360,0,1,78
167,1.0,0.0,1,0,2000,10687,0.242635802,360,1,1,92
168,1.0,0.0,1,1,39,10687,25.75734434,360,0,0,73
169,,,1,1,400,2150,52.39305959,360,0,0,128
170,,,1,1,500,29125,549.388663,360,0,0,134
171,1.0,0.0,1,1,150,10687,10.18052517,360,1,0,92
172,,,1,1,259,29125,549.0729504,360,1,0,153
173,1.0,0.0,1,1,600,10687,3.775221847,360,0,1,51
174,1.0,0.0,1,0,1999,10687,4.143612745,360,0,1,73
175,,,1,1,400,2150,1.723205663,360,0,0,123
176,1.0,0.0,1,1,190,10687,3.11370745,360,1,0,90
177,,,1,1,234,7500,13.22028372,360,0,0,111
178,1.0,0.0,1,1,51,10687,7.607118777,360,0,0,73
179,,,1,1,259,29125,0.868151502,360,0,0,112
180,1.0,0.0,1,1,250,10687,1.433390007,360,1,0,90
181,1.0,0.0,1,1,180,10687,0.811475628,360,0,0,72
182,,,1,1,350,7800,1.079807198,360,1,0,131
183,1.0,0.0,1,1,51,10687,40.20565808,360,1,0,93
184,1.0,0.0,1,1,180,10687,1.580023575,360,1,0,92
185,,,1,1,400,2150,699.7382605,360,1,0,152
186,,,1,1,250,29125,7.91105667,360,0,0,112
187,1.0,0.0,1,1,27,10687,75.29014076,360,1,0,96
188,2.0,0.0,1,1,50,29125,0.771592102,360,1,1,101
189,1.0,0.0,1,1,1297,10687,13.57665389,360,0,1,56
190,,,1,1,234,7800,0.086433685,360,1,0,130
191,,,1,1,8000,14572,11.11387492,360,1,1,128
192,,,1,1,200,29125,232.4512976,360,0,0,127
193,1.0,0.0,1,1,210,10687,27.37359865,360,1,0,93
194,,,1,1,51,29125,12.47672045,360,1,0,131
195,1.0,0.0,1,1,500,10687,4.265715467,360,0,1,52
196,1.0,0.0,1,1,1297,10687,0.280835305,360,0,1,55
197,,,1,1,259,29125,184.4832765,360,1,0,144
198,,,1,1,51,29125,34.80363801,360,1,0,133
199,1.0,0.0,1,0,1000,1457,4.513840903,360,1,1,95
200,1.0,0.0,1,1,500,10687,0.0,360,1,1,70
201,,,1,1,400,2150,447.861569,360,0,0,142
202,,,1,1,600,29125,434.055659,360,0,1,109
203,1.0,,1,1,259,10687,20.07065709,360,1,0,101
204,,,1,1,1500,14572,46.47103057,360,1,1,119
205,,,1,1,1000,10687,36.76607579,5,0,0,69
206,,,1,1,600,29125,0.855508165,360,1,1,111
207,,,1,1,700,7500,31.59367237,360,1,0,137
208,1.0,0.0,1,1,21,10687,2.349418667,360,1,0,92
209,1.0,0.0,1,1,259,10687,80.01360497,45,0,1,15
210,1.0,0.0,1,1,1000,10687,0.818614682,360,1,1,77
211,,,1,1,1000,10687,80.01156355,5,0,0,71
212,1.0,0.0,1,1,100,0,0.512674467,360,1,1,92
213,1.0,0.0,1,1,7,10687,12.81612819,360,1,0,92
214,,,1,1,1000,29125,4.748981142,360,1,0,130
215,,,1,1,1000,10687,26.86027775,5,0,0,68
216,1.0,0.0,1,1,51,10687,73.36264232,360,1,0,97
217,,,1,1,600,29125,0.364240145,360,1,1,112
218,,,1,1,600,29125,0.792035137,360,1,1,111
219,,,1,1,259,29125,83.31618107,360,1,0,138
220,,,1,1,400,2150,49.61172759,360,0,0,127
221,,,1,1,200,29125,121.7758456,360,0,0,120
222,,,1,1,1200,9714,129.7621336,360,0,0,124
223,1.0,0.0,1,1,500,10687,0.653090195,360,1,1,71
224,1.0,0.0,1,1,90,10687,14.31551845,360,0,0,72
225,1.0,0.0,1,1,190,10687,0.0,360,0,0,71
226,,,1,1,259,29125,182.2127682,360,0,0,123
227,,,1,1,350,2150,15.42671533,360,0,0,125
228,,,1,1,400,2150,80.70723806,360,1,0,148
229,1.0,0.0,1,1,51,10687,18.57875976,360,1,0,92
230,1.0,0.0,1,1,51,10687,120.4246091,360,0,0,80
231,1.0,0.0,1,0,500,10687,4.9263617,360,0,1,58
232,1.0,0.0,1,1,170,10687,0.0,360,1,0,92
233,,,1,1,500,29125,92.93451233,360,1,0,137
234,1.0,0.0,1,1,25,10687,25.22720727,360,1,0,94
235,,,1,1,400,2150,713.6834728,360,0,0,130
236,1.0,0.0,1,1,200,10687,4.955262695,360,0,0,70
237,1.0,0.0,1,1,33,10687,18.442079,360,1,0,92
238,,,1,1,234,7500,4.297247962,360,1,0,130
239,2.0,0.0,1,1,1000,29125,261.2965033,360,1,1,117
240,,,1,1,259,120,301.2986108,360,1,0,162
241,,,1,1,5000,14572,2.699572855,360,0,1,106
242,1.0,0.0,1,1,2000,10687,50.94371687,180,1,1,63
243,,,1,1,259,9714,238.1747919,360,0,0,126
244,1.0,0.0,1,1,1000,10687,2.367433372,360,0,1,57
245,1.0,0.0,1,1,39,10687,33.17883337,360,0,0,74
246,1.0,0.0,1,1,51,10687,50.17004339,360,0,0,74
247,1.0,0.0,1,1,5000,10687,11.1682428,360,0,1,66
248,1.0,0.0,1,1,240,10687,1.93690349,360,0,0,71
249,,,1,1,400,2150,14.5591378,360,0,0,124
250,2.0,0.0,1,1,1000,29125,259.375886,360,0,1,99
251,1.0,0.0,1,1,200,10687,13.93912217,360,0,0,72
252,1.0,0.0,1,1,43,10687,104.3703454,360,0,0,78
253,1.0,0.0,1,1,600,10687,30.63025802,360,0,1,53
254,1.0,0.0,1,1,1999,10687,0.097040452,360,0,1,65
255,1.0,0.0,1,1,170,10687,3.655548757,360,1,0,91
256,1.0,1.0,0,1,500,9714,1.591915973,360,1,0,106
257,,,1,1,5400,14572,18.89121119,360,0,1,106
258,,,1,1,1000,10687,62.11205431,5,1,0,91
259,1.0,0.0,1,1,90,10687,2.182130648,360,0,0,71
260,1.0,0.0,1,1,1999,10687,2.043315077,40,1,1,42
261,,,1,1,400,2150,30.80650096,360,1,0,146
262,,,1,1,400,2150,195.5129271,360,1,0,156
263,,,1,1,5000,14572,355.7874293,360,0,1,120
264,1.0,0.0,1,1,41,10687,9.307360425,360,0,0,73
265,1.0,0.0,1,1,10,0,17.21048698,360,1,1,92
266,,,1,1,400,2150,38.45553558,360,0,0,127
267,,,1,1,8000,14572,21.47213646,360,0,1,106
268,1.0,0.0,1,1,21,10687,0.80354706,360,1,0,92
269,1.0,0.0,1,1,190,10687,1.415464373,360,1,0,90
270,1.0,0.0,1,1,100,0,9.163232705,360,1,1,91
271,,,1,1,1200,7500,18.77088559,360,0,0,124
