JobId,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,SLA,EstimatedRemainingRunningTimeInMins
58DB25D9-DE6A-45E8-9970-736F7E980996,1,0,1,0,259,415,42.9237925,00:00.0,50
8F365044-1307-476F-90B7-6A9FC05826EC,1,0,1,0,259,415,32.48083158,00:00.0,50
3BE2AE54-5B92-47C3-BF6E-3015385CF2CE,1,0,1,0,259,415,36.03439586,00:00.0,50
4BF445B5-D4EE-4AAC-BF52-49A9B3F22C1B,1,0,1,0,259,415,3.468719473,00:00.0,50
74EC80FB-A36A-44D1-AD68-FC9EF100F085,1,0,1,1,259,10687,51.29163352,00:00.0,45
38FFE2A0-D8D6-44C4-87E8-70BD38C00A55,1,0,1,1,259,10687,80.01360497,00:00.0,45
e2c31a95-465e-4486-a552-7888924cb8bf,1,0,0,1,1999,10687,3.793726045,00:00.0,40
98EAEBB6-8BD0-41D6-893F-16001BFD63C5,1,0,1,1,1999,10687,5.420198327,00:00.0,40
6A781006-2DE7-4C17-95BD-0098E518EA14,1,0,1,1,1999,10687,2.043315077,00:00.0,40
D8775FD5-6073-4922-9D3F-72B8DA5957EB,1,0,1,1,1999,10687,51.73714301,00:00.0,40
8A3BCA5E-170E-4917-B014-94C85DF0FD5E,1,0,1,1,1999,10687,48.91060591,00:00.0,40
5842E908-7587-4FD9-B4AA-3B86B06620EA,1,0,0,1,1999,10687,3.992069263,00:00.0,40
B86A5F55-AE2F-4382-9E8D-3EF1E41F7F66,1,0,1,1,1999,10687,16.75824922,00:00.0,40
53afe82a-819c-4402-9e65-c5075fb6b78e,NULL,NULL,1,0,300,9714,62.56490181,NULL,30
8E0723B6-CEA3-473B-9950-524DDA11B030,1,0,1,0,1001,415,4.46386222,00:00.0,30
3ABD5E01-30F0-4648-9EE3-5E3671520FA7,1,0,1,1,259,10687,92.01134372,00:00.0,7
009b7aad-723d-4e97-bf73-9c169b1987d5,NULL,NULL,1,1,1000,10687,80.01156355,NULL,5
6a8e8b62-dfdf-43b2-a9aa-93d4b52427a7,NULL,NULL,1,1,1000,10687,223.9596512,NULL,5
02216a96-7729-41a5-a769-7d62d430462e,NULL,NULL,1,1,1000,10687,62.11205431,NULL,5
608914aa-a650-4bf8-96f2-2ed7b9096005,NULL,NULL,1,1,1000,10687,186.9483313,NULL,5
75d58e41-4db8-4495-902f-efe4c2d02843,NULL,NULL,1,1,1000,10687,112.1948678,NULL,5
7ea1da05-af06-4c4a-ba88-a10d80ac8b1f,NULL,NULL,1,1,1000,10687,112.6047077,NULL,5
77d94106-13eb-4efd-9143-f392cedcb5c2,NULL,NULL,1,1,1000,10687,8.15702014,NULL,5
abbdf327-9aae-401e-bdc0-6c0725affc8c,NULL,NULL,1,1,1000,10687,36.76607579,NULL,5
