JobId,AUId,SLA,jobToken,SubmitTime,TotalRunningTimeInMinutes,priorityX,priorityY,IsYieldForEnabled,IsYieldedEnabled,EstimatedRunningTimeInMins
B8F0B91D-AA5B-4F2C-9FEB-32CA52B860C3,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:45:01.063,1.89335511833333,NULL,NULL,1,1,NULL
EA854C3B-76EC-4A8C-804E-9561854D3FA2,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:45:05.517,1.74364087833333,NULL,NULL,1,1,NULL
F6A77DDC-9872-40D7-AC69-3D21903448BB,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,100,2021-09-14 22:45:29.263,0.961656215,NULL,NULL,1,1,NULL
72C072F2-12F3-40AF-AAE9-9DEB3B26022E,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,500,2021-09-14 22:45:29.717,6.55870392,NULL,NULL,1,1,NULL
15834740-5527-499B-B6F3-ECA25DBB9C97,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,272,2021-09-14 22:45:41.623,2.25063430833333,NULL,NULL,1,1,NULL
808718BA-1C04-40CF-B223-8D148E43C0BF,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,100,2021-09-14 22:45:43.543,0.786923708333333,NULL,NULL,1,1,NULL
6FD12FC9-B6BA-4C79-88C7-DEF75C46B263,B4304AC2-94A1-403C-B870-87C1030C2AF9,2021-09-14 00:00:00.000,2000,2021-09-14 22:46:09.840,27.413742095,1,0,1,0,NULL
98A4F012-0703-470E-9D2D-7B02B9A994BE,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,500,2021-09-14 22:46:29.573,7.65752887,NULL,NULL,1,1,NULL
B45AA501-9A33-4919-91A6-87C102224BB6,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:46:59.633,5.554292595,NULL,NULL,1,1,NULL
46D21044-3BC5-40F3-B60F-59529DEBB235,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:47:00.383,5.05745345833333,NULL,NULL,1,1,NULL
D202DDA5-E860-4FEE-85C5-E69E3E3F12AA,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,200,2021-09-14 22:48:34.173,5.449365365,NULL,NULL,1,1,NULL
FEC883E0-07FA-475F-8A06-D5226503E32E,B4304AC2-94A1-403C-B870-87C1030C2AF9,2021-09-14 18:00:00.000,1000,2021-09-14 22:48:35.797,21.1432088166667,1,0,1,1,NULL
0D1D7EEA-EEA0-43A3-9D0E-ECAF1BF3609A,B4304AC2-94A1-403C-B870-87C1030C2AF9,2021-09-14 02:00:00.000,2000,2021-09-14 22:48:54.500,18.6341368066667,1,0,1,1,NULL
05BAD21B-A236-401B-B479-0F7C4D03CC45,35EF19A8-64DB-4018-BBBC-B97DE06809B9,NULL,234,2021-09-14 22:49:01.593,82.20034597,NULL,NULL,1,1,NULL
9E636AEB-1BC6-4BFE-9F71-020A262FA9D0,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:49:06.280,5.863659675,NULL,NULL,1,1,NULL
0839B6E3-A95F-4E42-8407-BD77D293E627,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:49:11.827,5.95166021833333,NULL,NULL,1,1,NULL
9F12529D-67AC-4F34-BBB3-563D3F2B8B19,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,300,2021-09-14 22:49:36.873,31.7765724633333,NULL,NULL,1,1,NULL
F5EBAA05-7CDF-45F3-91F5-C5647DCB87EE,B4304AC2-94A1-403C-B870-87C1030C2AF9,2021-09-14 18:00:00.000,1000,2021-09-14 22:49:57.043,22.3269283933333,1,0,1,1,NULL
CCE7E700-DAAC-4010-B5A2-C3BCDA4D6DA8,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,50,2021-09-14 22:51:02.897,6.1454322,NULL,NULL,1,1,NULL
