AUID,ParentID,QuotaTokens,HierarchyLevel
E3FB335D-BF9E-433F-B370-C4D9BCD63A05,A94FF45A-AF49-444E-A367-69A499BF757E,2915,4
59ACD2AB-F9CF-4D3F-B337-C5F463B4EE64,66747918-3562-4958-BF13-B70EEF337145,14572,3
C1AE4E8C-5762-4051-AD3C-D0A521F8F612,66747918-3562-4958-BF13-B70EEF337145,0,3
026C1646-B5E7-43E5-86B7-D7A7B03B2100,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
DD5EF4E3-5AB3-4E53-B022-DA15033B3B99,66747918-3562-4958-BF13-B70EEF337145,0,3
8F43CF77-AA8E-4B16-BC69-DCEEA5101A2C,0E9516C1-A2AC-4FF6-A917-A8D7C9B99CB6,34000,1
83F00D65-A1A6-4DAE-A8F2-DEF4D2209705,7F1599B3-D610-48E4-9F8A-E83476AC7ECB,9714,4
4297D61A-6AE5-40CA-A8F2-DF08F40D9650,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
EBC03CC6-28D7-413D-8EA1-E44F81A28F30,2403B178-CFE1-409F-AC98-4FF4F7061CB6,10687,2
901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,2403B178-CFE1-409F-AC98-4FF4F7061CB6,45835,2
4A0662D2-806E-4B39-9745-E7358B7066D8,228B6D49-CFD5-41E4-8925-936BD159BDCA,0,1
7F1599B3-D610-48E4-9F8A-E83476AC7ECB,901DC944-B0AC-4E7B-BF4D-E5EF8CD12A98,9861,3
75B67FC1-E0C4-4909-AD40-F8F6D0978E01,A94FF45A-AF49-444E-A367-69A499BF757E,16516,4
