TimeStamp,JobId,JobStateId,Priority,TokenAllocation,QuotaTokens,AUId,VCId,TotalWaitingTimeInMins,random,SLA,JobRegistryId,YieldScopePriority_X,YieldScopePriority_Y
2020-12-14 09:36:19.113,7a275722-b12d-47cd-87ba-559d6bb202c8,0,200,400,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,8.9504733,32bfb000-b3f8-442f-8568-0021405b8b0c,2020-12-14 16:40:00.000,5142,2,0
2021-02-04 14:49:33.160,e2a9c2c0-052b-4e4a-9cbc-ea83263f449c,0,2001,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,27.98006337,29f45a67-6778-4774-8f85-0021948dadce,2021-02-04 16:40:00.000,5142,2,0
2021-01-05 15:09:23.227,f664cebc-f1a7-4c09-a7a1-e53c05ee684a,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,29.522485103333334,af7aa3be-d00a-4a9d-9703-0021cdcff061,2021-01-05 16:40:00.000,5142,2,0
2021-01-26 10:19:03.867,b0b0864b-8c57-42f5-b457-a9e6145d5f55,0,201,2000,1457,2a2b14d0-55ef-4694-91c4-91030ab3f672,100,24.493847321666667,912daf1d-4d6f-454d-8618-002239f67fda,2021-01-25 00:00:00.000,4774,1,0
2021-02-22 09:55:56.343,bc9e6837-fe21-4e1b-a809-0377be0a48f8,0,2001,100,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.752030645,9de34cb1-5d0a-4fac-a4cc-00225dd0acf2,2021-02-22 16:40:00.000,5142,2,0
2021-01-27 15:24:01.717,e5f73678-6a33-4494-ad1f-f090cafa159c,0,250,1500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.6387102983333334,b63fe46d-fa43-4d2c-8b9a-00226191d13f,2021-01-27 16:40:00.000,5142,2,0
2021-02-01 11:21:24.230,053092b7-3fae-4549-85d9-288292c78bc4,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,19.00114022,10a29bc7-c7c7-44da-96bb-002280cccfc3,2021-02-01 16:40:00.000,5142,2,0
2021-05-11 11:06:11.130,f32f6aaf-597d-4eb9-831a-fbcc896f057b,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,3.657984735,f2c299d1-d4a7-416a-80fa-0022830419cf,2021-05-11 16:40:00.000,5142,2,0
2020-12-14 10:51:03.710,bd87f8ba-07f8-4977-b958-15933d5dfb80,0,200,400,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,44.0874698,7b106291-e640-4494-9ec4-0022be70a2a0,2020-12-14 16:40:00.000,5142,2,0
2021-01-29 11:20:51.927,995999a4-1649-4545-8c23-4ab2be736cdb,0,2001,1999,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,23.320732006666667,29ccaf22-e5d5-4c1f-a3d1-0022d402d5c1,2021-01-29 16:40:00.000,5142,2,0
